登录MyCard账号即可同步所有本地卡组至MyCard,登入MyCard帳號即可同步所有本地卡組至MyCard,Log in to MyCard to Synchronize all Local Decks to MyCard,Connectez-vous à MyCard pour synchroniser tous les Decks locaux avec MyCard,"Melde dich bei MyCard an, um alle lokalen Decks zu synchronisieren",Accedi a MyCard per sincronizzare i Deck Locali con MyCard,Faça login na conta MyCard para sincronizar decks locais.,Inicia sesión en MyCard para sincronizar todos tus decks locales con esta plataforma.,MyCard アカウントにログインして、すべてのオフラインデッキを MyCard オンラインデッキに同期します,MyCard 계정에 로그인하면 모든 로컬 덱을 MyCard로 동기화할 수 있습니다
MyCard登录失败。,MyCard登入失敗。,Mycard Account Login Failed.,Echec de la connexion au compte MyCard,MyCard-Anmeldung fehlgeschlagen,Accesso all'account MyCard Fallito.,Falha no login MyCard.,Error al iniciar sesión en MyCard.,MyCard ログイン失敗。,MyCard 로그인에 실패했습니다.
获取MyCard卡组失败：,獲取MyCard卡組失敗：,Failed to Download MyCard Deck:,Échec du téléchargement de MyCard Deck :,Fehler beim Herunterladen des MyCard Decks:,Impossibile Scaricare il Deck da MyCard:,Falha ao obter decks MyCard:,No se pudo descargar el deck desde MyCard:,MyCardデッキの取得に失敗しました：,MyCard 덱 가져오기 실패：
未选中有效卡组,未選中有效卡組,No Valid Deck Selected,Aucun Deck valide sélectionné,Kein gültiges Deck ausgewählt,Deck selezionato non valido.,Nenhum Deck válido selecionado,Elija un deck válido,使用できるデッキが選択されていません,유효한 덱을 선택하지 않았습니다
上传本地卡组成功。,上傳本地卡組成功。,Successfully Uploaded Local Deck.,Téléchargement réussi du Deck local.,Lokales Deck erfolgreich hochgeladen,Caricamento del Deck su MyCard Completato.,Upload de Deck local bem-sucedido.,El deck local se cargó exitosamente.,オフラインデッキアップロード成功しました。,오프라인 덱 업로드 성공.
同步卡组成功。,同步卡組成功。,Successfully Synchronized the Deck.,Synchronisé le Deck avec succès.,Deck erfolgreich synchronisiert,Sincronizzazione del Deck Completata.,Sincronização de Decks bem-sucedida.,El deck se ha sincronizado exitosamente.,デッキ同期が成功しました。,덱 동기화 성공.
同步卡组失败。,同步卡組失敗。,Synchronize Deck Failed.,Échec de la synchronisation du Deck.,Deck-Synchronisierung fehlgeschlagen,Sincronizzazione del Deck Fallita.,Falha ao sincronizar Decks.,Ha fallado la sincronización de decks.,デッキ同期が失敗しました。,덱 동기화 실패.
竞技匹配,競技匹配,Ranked Match,Match classé,Ranglistenspiel,Partita Classificata,Partida Competitiva,Match Competitivo,試合マッチング,시합 매칭
娱乐匹配,娛樂匹配,Casual Match,Match occasionnel,Freundschaftsspiel,Partita Casuale,Partida Casual,Match Casual,フリーマッチング,자유 매칭
匹配失败,匹配失敗,Matching Failed,Echec de l'appariement,Matchmaking fehlgeschlagen,Abbinamento Fallito,Falha na Busca,Falló el emparejamiento,マッチング失敗,매칭 실패
搜索决斗者,蒐索決鬥者,Search Duelist,Recherche Duelliste,Duellant suchen,Ricerca Duellante,Procurar Duelistas,Buscar Duelistas,決闘者サーチ,듀얼리스트 검색
创建房间,創建房間,Create Room,Création du Salon,Raum erstellen,Crea Stanza,Criar Sala,Crear una sala,ルームの作成,방 작성
检测到新版先行卡，请至 [游戏设置]-[扩展卡包]-[更新先行卡] 处进行更新。,檢測到新版先行卡，請至[遊戲設置]-[擴展卡包]-[更新先行卡]處進行更新。,New ver. of Pre-Release Cards Detected. To Update Go To [SETTINGS] - [Expansions] - [Update Pre-Release Cards],Une nouvelle version des cartes SuperPre a été détectée. Veuillez aller dans [Paramètres] - [Extensions] - [Mettre à jour les cartes SuperPre] pour le mettre à jour.,Neue Version der Prerelease-Karten erkannt. Zum Aktualisieren gehe zu [EINSTELLUNGEN] – [Erweiterungen] – [Prerelease-Karten aktualisieren],Una Nuova Versione Delle Carte Pre-Rilascio È Disponibile. Vai In [Impostazioni] > [Espansioni] > [Aggiorna Carte Pre-Rilascio] Per Installare L'aggiornamento.,Novos cards de Pré-Lançamento detectados. Atualize em [CONFIGURAÇÕES]-[Pacotes de Expansão]-[Atualizar Pré-Lançamentos].,Nuevas cartas pre-lanzadas detectadas. Ir a [Ajustes]-[Usar expansiones]-[Actualizar expansiones (cartas pre-lanzadas)].,新しい先行カードが検出されました。[ゲーム設定]-[拡張パッケージ]-[先行カードの更新]で更新してください。,새 프리릴리즈 카드가 발견되었습니다. [게임 설정] - [카드 확장팩] - [프리릴리즈 카드 업데이트]에서 업데이트하십시오.
用户名不能为空。,用戶名不能為空。,Player Name Cannot be Empty.,Le nom du joueur ne peut pas être vide.,Spielername darf nicht leer sein,Il Nome Giocatore non può essere Vuoto.,Apelido não pode estar vazio.,El nombre de usuario no puede estar vacío.,プレイヤー名は空にできません。,사용자 이름은 비워둘 수 없습니다.
主机地址和端口不能为空。,主機地址和端口不能為空。,Host IP and Port Cannot be Empty.,L'adresse IP et le port de l'hôte ne peuvent pas être vides.,Host-IP und Port dürfen nicht leer sein,IP Host e Porta non possono essere Vuoti.,Endereço e Porta do Servidor são obrigatórios.,La dirección IP y el puerto del host no pueden estar vacíos.,ＩＰとＰＯＲＴは空にすることはできません。,IP와 포트는 비워둘 수 없습니다.
#Online Server,,,,,,,,,
禁限卡表,禁限卡表,Forbidden & Limited Lists,Listes interdites et limitées,Verbotene & Limitierte Listen,Liste Carte Proibite & Limitate,Lista de Restrições,Banlist,リミットレギュレーション,리미트 레귤레이션
禁限卡表：,禁限卡表：,Forbidden & Limited Lists:,Listes interdites et limitéest :,Verbotene & Limitierte Karten:,Liste Carte Proibite & Limitate:,Lista de Restrições:,Banlist:,リミットレギュレーション：,리미트 레귤레이션：
卡片允许,卡片允許,Allowed Cards,Cartes autorisées,Erlaubte Karten,Carte Permesse,Cards Permitidos,Permitir cartas,使用できるカード,사용할 수 있는 카드
卡片允许：,卡片允許：,Allowed Cards:,Cartes autorisées :,Erlaubte Karten:,Carte Permesse:,Cards Permitidos:,Permitir cartas:,使用できるカード：,사용할 수 있는 카드：
决斗模式,決鬥模式,Duel Mode,Mode de Duel,Duell-Modus,Modalità Duello,Modo de Duelo,Modo de duelo,デュエルモード,듀얼 모드
决斗模式：,決鬥模式：,Duel Mode:,Mode de Duel :,Duell-Modus:,Modalità Duello:,Modo de Duelo:,Modo de duelo:,デュエルモード：,듀얼 모드：
特殊选项：,特殊選項：,Extra Options:,Options :,Zusätzliche Optionen:,Opzioni Extra:,Opções Especiais:,Opciones especiales:,特殊設定：,특수 설정：
每回合时间：,每回合時間：,Time Limit:,Limite de temps:,Zeitlimit:,Tempo Limite,Tempo por Turno:,Tiempo por turno:,ターン制限時間：,턴 제한 시간：
初始基本分：,初始基本分：,Starting LP:,LP de départ :,Start LP:,LP Iniziali:,PV Iniciais:,Puntuación inicial:,初期ＬＰ：,초기 LP：
#Puzzle,,,,,,,,,
残局概述,殘局槪述,Puzzle Description,Description du puzzle,Rätselbeschreibung,Descrizione del Puzzle,Visão Geral de Desafios,Descripción del Puzle,詰めデュエル説明,퍼즐 듀얼 설명
启动残局<#FF0000>[?]</color>失败。,啓動殘局<#FF0000>[?]</color>失敗。,Fail to Start Puzzle <#FF0000>[?]</color>.,Échec du démarrage du Puzzle <#FF0000>[?]</color>.,Rätsel konnte nicht gestartet werden <#FF0000>[?]</color>.,Impossibile Avviare il Puzzle <#FF0000>[?]</color>.,Falha ao iniciar desafio <#FF0000>[?]</color>,Fallo al iniciar el Puzle<#FF0000>[?]</color>Error.,<#FF0000>[?]</color>ゲーム再開失敗。,<#FF0000>[?]</color> 게임 재시작 실패.
#Replay,,,,,,,,,
播放回放,播放回放,Play Replay,Jouer le Replay,Wiederholung abspielen,Avvia Replay,Reproduzir Replay,Reproducir,再生開始,재생 시작
上帝视角,上帝視角,Free View,Vue divine,Freie Ansicht,Visuale Libera,Visão Livre,Vista de Dios,ゴッドモード,갓 모드
修改名称,修改名稱,Rename,Renommer,Umbenennen,Rinomina,Renomear,Renombrar,リプレイ名変更,리플레이명 변경
删除回放,删除回放,Delete Replay,Supprimer le Replay,Wiederholung löschen,Cancella Replay,Excluir Replay,Eliminar,リプレイ削除,리플레이 삭제
时间排序,時間排序,Sort by Date,Trier par date,Sortieren nach Datum,Ordina Per Data,Ordenar por Data,Ordenar por tiempo,時間順,시간 순
名称排序,名稱排序,Sort by Name,Trier par nom,Sortieren nach Name,Ordina Per Nome,Ordenar por Nome,Ordenar por nombre,名前順,이름 순
回放信息,回放訊息,Replay Info,Informations sur le Replay,Wiederholungsinformationen,Informazioni Del Replay,Informações do Replay,Info. de la repetición,リプレイログ,리플레이 기록
请输入新的回放名称,請輸入新的回放名稱,Please Enter a New Name For Replay,Veuillez entrer un nouveau nom pour la rediffusion,Bitte gib einen neuen Namen für die Wiederholung ein,Inserisci Un Nuovo Nome Per Il Replay,Digite um novo nome.,Ingrese un nuevo nombre para la repetición,新しいリプレイ名を入力してください,새 리플레이 이름을 입력해주세요
已删除回放「[?]」。,已删除回放「[?]」。,Deleted Replay [?].,Replay supprimé [?].,Wiederholung gelöscht [?].,Replay Cancellato [?].,Replay [?] excluído.,"Repetición ""[?]"" eliminada.",「[?]」を削除しました。,「[?]」을(를) 삭제했습니다.
您正在观看旧版的回放（上帝视角），不保证稳定性。,您正在觀看舊版的回放（上帝視角），不保證穩定性。,"You are Watching Outdated Replay (Free View), Stability is Not Guaranteed.",Fin du Replay.,"Du siehst eine veraltete Wiederholung (Freie Ansicht), Stabilität nicht garantiert.","Stai Guardando Un Replay Obsoleto (Visuale Libera), Potrebbero Verificarsi Instabilità",Você está assistindo à um replay antigo (Visão Livre) - A estabilidade não é garantida.,"Estás viendo una repetición de la versión antigua (Vista de Dios), no se garantiza la estabilidad.",旧バージョンの（ゴッドモード）を再生中，安定性は保証できません。,구 버전의 리플레이를 시청하고 있습니다(갓 모드). 안정성이 보장되지 않습니다.
回放播放结束。,回放播放結束。,End of Replay.,Fin du Replay.,Wiederholung beendet.,Fine Del Replay.,Encerrar Replay,Finalizó la reproducción de la repetición.,再生終了。,재생 종료.
YGOPro旧版的回放崩溃了！您可以选择使用永不崩溃的新版回放。,YGOPro舊版的回放崩潰了！您可以選擇使用永不崩潰的新版回放。,This Outdated YGOPro Replay File Has Crashed! A New Type of Replay File is Suggested To Avoid Any Crashes.,Ce fichier YGOPro Replay obsolète a planté ! Un nouveau type de fichier de Replay est suggéré pour éviter tout plantage.,"Diese veraltete YGOPro-Wiederholungsdatei ist abgestürzt! Eine neue Replay-Datei wird empfohlen, um Abstürze zu vermeiden.",Il file di Replay YGOPRO si è Bloccato perchè Obsoleto! Si Consiglia di Utilizzare il Formato di Replay più Recente per Evitare Altri Errori.,Replay antigo crashou! É recomendado utilizar uma versão mais recente para evitar problemas.,"¡La repetición de la versión antigua de YGOPro falló! Usa repeticiones de la nueva versión, que no se bloquean.",ＹＧＯＰＲＯ旧バージョンリプレイエラー発生！@nエラーをしない新バージョンを使用してください。,YGOPRO 구 버전 리플레이 오류 발생! @n오류 없는 새 버전을 사용하세요.
保存回放,保存回放,Save Replay,Sauvegarder Replay,Wiederholung speichern,Salva Replay,Salvar Replay,Guardar repetición,リプレイ保存,리플레이 저장
回放没有录制完整。,回放沒有錄制完整。,The Replay Was Not Fully Recorded.,Le Replay n'a pas été entièrement enregistré.,Die Wiederholung wurde nicht vollständig aufgezeichnet.,Il Replay Non È Stato Registrato Nella Sua Interezza.,Replay incompleto.,La repetición no se guardó completamente.,リプレイは未完成状態です。,리플레이는 미완성 상태입니다.
#MonsterCutin,,,,,,,,,
自动播放,自動播放,Auto Play,Lecture automatique,Automatisch abspielen,Auto Riproduzione,Reprodução Automática,Auto-Reproducir,オートプレイ,자동 재생
搜索卡名,搜索卡名,Search Cards,Chercher,Karten suchen,Cerca Carte,Buscar Cards,Buscar Cartas,テキスト検索,텍스트 검색
#Mate,,,,,,,,,
搜索伙伴,搜索伙伴,Search Mates,Recherche de Partenaires,Begleiter suchen,Cerca Assistenti,Buscar Colegas,Buscar Compañeros,メイト検索,메이트 검색
长按宠物再松开后即可返回正常视角。,長按寵物再鬆開後即可返回正常視角。,Long Press and Release the Mate to Return to Normal Viewing Angle.,Appuyez longuement et relâchez le Partenaire pour revenir à l'angle de vision normal.,"Drücke lange auf den Begleiter und lasse los, um zur normalen Ansicht zurückzukehren.",Tieni Premuto E Rilascia L'Assistente Per Ritornare Alla Visualizzazione Normale,Segure e solte para voltar à visão normal.,"Mantenga presionada la mascota y suéltela para volver a la vista normal o presione la tecla ""W"" (Sólo PC).",メイトを長押しして放すと通常の視野に戻ります。,메이트를 길게 누르고 놓으면 통상적인 시야로 돌아갑니다.
互动,互動,Interaction,Interaction,Interaktion,Interazione,Interagir,Interactuar,メイト交流,메이트 교류
#SelectDeck,,,,,,,,,
选择卡组,選擇牌組,Select Deck,Sélectionner le Deck,Deck auswählen,Seleziona Deck,Selecionar Deck,Elegir Deck,デッキ選択,덱 선택
MyCard卡组,MyCard牌組,MyCard Deck,Deck MyCard,MyCard Decks,Deck MyCard,Decks MyCard,Deck MyCard,MyCard デッキ,MyCard 덱
创建卡组,創建牌組,Create Deck,Créer un Deck,Deck erstellen,Crea Deck,Criar Deck,Crear Deck,新規作成,신규 작성
删除卡组,删除牌組,Delete Deck,Supprimer le Deck,Deck löschen,Cancella Deck,Excluir Deck,Eliminar Deck,デッキ削除,덱 삭제
确认删除,確認刪除,Confirm Delete,Confirmez la suppression,Löschen bestätigen,Conferma Cancellazione,Confirmar Exclusão,Confirmar Eliminación,削除を確認,삭제 확인
搜索卡组,搜尋牌組,Search Deck,Recherche de Deck,Deck suchen,Cerca Deck,Buscar Deck,Buscar Deck,デッキ検索,덱 검색
同步卡组,同步牌組,Sync Deck,Synchronisation du Deck,Deck synchronisieren,Sincronizza Deck,Sincronizar Decks,Sincronizar Deck,デッキ同期,덱 동기화
请输入卡组名。@n创建卡组时会自动导入剪切板中的卡组码。,請輸入牌組名。@n創建牌組時會自動導入剪貼板中的牌組碼。,Please Enter Deck Name.@n@nDeck Code in the Clipboard will be Automatically Imported.,Veuillez entrer le nom du Deck.@n@nLe code de Deck dans le presse-papiers sera automatiquement importé.,Bitte gib einen Decknamen ein. @n@nDeck-Code aus der Zwischenablage wird automatisch importiert.,Inserire il nome del Deck.@n@nIl Codice Deck negli Appunti verrà importato automaticamente.,Digite o nome.@nDecks copiados na área de transferência serão importados automaticamente.,Importar YDKE. @n@nAl confirmar se agregará el Deck automáticamente.,デッキの名前を入力してください。@n@n新しいデッキを作成する時に自動的にコーピしデッキコードを導入する,덱 이름을 입력해주세요. @n@n덱을 만들 때 클립보드의 ydke 카드 코드가 자동으로 가져와집니다.
该卡组名已存在,該牌組名已存在,Duplicated Deck Name,Nom du Deck dupliqué,Deckname bereits vergeben,Nome Deck già in uso,Nome já existe,El nombre de este deck ya está en uso,同名のデッキが既に存在しています。,이미 존재하는 덱 이름입니다.
该卡组名的文件已存在，是否直接覆盖创建？,該牌組名的文件已存在，是否直接覆蓋創建？,"This Deck Name Already Exists, Overwrite It?",Ce nom de Deck existe déjà,Dieser Deckname existiert bereits. Überschreiben?,"Questo Deck Esiste Già, Sovrascriverlo?",Arquivo já existe. Sobrescrever?,Ya existe un deck con este nombre. ¿Desea sobrescribirlo directamente?,同名のデッキファイルが既に存在しています，上書きしますか？,동일한 이름의 덱이 존재합니다. 덮어쓸까요?
已删除本地卡组「[?]」,已刪除本地牌組「[?]」,Deck 「[?]」 Deleted,"Deck ""[?]"" Supprimé",Deck „[?]“ gelöscht,Deck 「[?]」 Cancellato,"Deck local ""[?]"" excluído.","El deck ""[?]"" ha sido eliminado.",「[?]」デッキは削除されました,덱 [?]」을(를) 삭제했습니다.
云端卡组删除成功,雲端牌組删除成功,Online Deck Deleted Successfully,Deck en ligne supprimé avec succès,Online-Deck erfolgreich gelöscht,Deck Online cancellato con successo,Deck online excluído.,El deck online se eliminó correctamente.,オンラインデッキ削除成功,온라인 덱 삭제 성공
删除本地卡组失败：,删除牌組卡組失敗：,Failed to Delete Local Deck:,Échec de la suppression du Deck local :,Löschen des lokalen Decks fehlgeschlagen:,Errrore durante la cancellazione del Deck Locale:,Falha ao excluir Deck local:,No se pudo eliminar el deck local:,オフラインデッキ削除が失敗した：,오프라인 덱 삭제 실패：
卡组分组,牌組分組,Deck Grouping,Groupes de Decks,Deckgruppierung,Raggruppamento Deck,Grupo de Decks,Grupos de Decks,デッキ集,덱 그룹 관리
